Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
129 - Wood windows and door manufacturing,0.0,104735563.04,96880946.25,201616509.29,0.0,106835095.45,95756674.68,202591770.13,975260.8400000036,0.48372072477319483
315 - Motor and generator manufacturing,0.0,67395617.45,20847890.02,88243507.47,0.0,68746632.13,20604827.04,89351459.16,1107951.6899999976,1.2555617084652557
195 - Cement manufacturing,0.0,80951677.29,38134002.39,119085679.68,0.0,82574437.17,37688118.2,120262555.37,1176875.6899999976,0.9882596237955967
125 - Wood preservation,0.0,88532832.81,45577016.25,134109849.06,0.0,90307564.77,45045687.24,135353252.02,1243402.9600000083,0.927152605655172
231 - Sheet metal work manufacturing,0.0,112439370.14,86235969.24,198675339.38,0.0,114693333.31,85231881.34,199925214.65,1249875.2700000107,0.6291043840168881
196 - Ready-mix concrete manufacturing,0.0,132849525.6,116809731.65,249659257.25,0.0,135512631.39,115445615.66,250958247.06,1298989.8100000024,0.5203050847416564
34 - Electric power generation - Hydroelectric,0.0,137770794.16,122064918.58,259835712.75,0.0,140532551.86,120623270.71,261155822.57,1320109.8199999928,0.5080555732806952
150 - All other petroleum and coal products manufacturing,0.0,95950393.82,50816145.06,146766538.89,0.0,97873818.45,50213901.15,148087719.61,1321180.7200000286,0.9001920533059923
223 - Iron and steel forging,0.0,85186594.34,32505855.91,117692450.25,0.0,86894247.5,32127853.32,119022100.83,1329650.5799999982,1.1297670982085772
180 - Plastics pipe and pipe fitting manufacturing,0.0,152930193.11,143195071.31,296125264.42,0.0,155995836.6,141514487.47,297510324.07,1385059.6499999762,0.4677276194967006
440 - Specialized design services,0.0,416888669.93,607116407.55,1024005077.49,0.0,425245633.4,600158848.39,1025404481.79,1399404.2999999523,0.1366598985456318
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,107821152.23,63589594.74,171410746.97,0.0,109982538.46,62849306.17,172831844.63,1421097.6599999964,0.8290598373325532
209 - Rolled steel shape manufacturing,0.0,124993188.28,73532554.18,198525742.45,0.0,127498805.68,72676294.54,200175100.22,1649357.7700000107,0.8308029727758919
238 - Spring and wire product manufacturing,0.0,120023140.1,62967264.3,182990404.4,0.0,122429127.76,62229765.39,184658893.16,1668488.7599999905,0.9117903015028205
177 - Other miscellaneous chemical product manufacturing,0.0,179362309.6,161880055.37,341242364.98,0.0,182957812.13,159982155.24,342939967.37,1697602.3899999857,0.4974770322259022
37 - Electric power generation - Solar,0.0,187606501.68,166219353.62,353825855.3,0.0,191367267.55,164256219.73,355623487.28,1797631.9799999595,0.5080555739703625
509 - Federal electric utilities,0.0,188985870.2,167202875.54,356188745.74,0.0,192774286.93,165227982.12,358002269.05,1813523.3100000024,0.5091467183311243
152 - Industrial gas manufacturing,0.0,239711252.5,251393057.0,491104309.5,0.0,244516511.85,248450035.65,492966547.51,1862238.0099999905,0.3791939866901108
139 - Paperboard container manufacturing,0.0,595867404.9,844877541.93,1440744946.82,0.0,607812181.75,834931990.43,1442744172.18,1999225.3600001335,0.13876330882942237
138 - Paperboard mills,0.0,257043057.54,266799061.54,523842119.07,0.0,262195750.8,263671215.69,525866966.49,2024847.4200000167,0.3865377269767497
167 - Paint and coating manufacturing,0.0,213464276.92,190621772.99,404086049.91,0.0,217743388.57,188409472.23,406152860.8,2066810.8899999857,0.5114779118111886
175 - Custom compounding of purchased resins,0.0,151582225.13,70517874.97,222100100.1,0.0,154620847.21,69689175.01,224310022.22,2209922.120000005,0.9950117622662004
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,122431682.68,6836582.7,129268265.38,0.0,124885952.07,6757749.73,131643701.8,2375436.420000002,1.8376021469903026
21 - Coal mining,0.0,275563842.97,251975904.37,527539747.34,0.0,281087804.48,249006560.18,530094364.66,2554617.3200000525,0.48425115507999794
"216 - Copper rolling, drawing, extruding and alloying",0.0,204199213.0,126252270.82,330451483.82,0.0,208292596.88,124779541.51,333072138.39,2620654.569999993,0.7930527470191321
229 - Plate work manufacturing,0.0,179561209.77,78335736.75,257896946.52,0.0,183160699.46,77413005.95,260573705.41,2676758.8899999857,1.0379180235049437
156 - Plastics material and resin manufacturing,0.0,450960350.32,522966473.84,973926824.16,0.0,460000315.77,516831519.19,976831834.95,2905010.790000081,0.298278137323676
149 - Petroleum lubricating oil and grease manufacturing,0.0,239026715.02,152166726.59,391193441.62,0.0,243818252.12,150366216.28,394184468.4,2991026.7799999714,0.7645902159334803
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,155169575.04,9578442.03,164748017.07,0.0,158280109.25,9466419.81,167746529.06,2998511.9900000095,1.8200595329326288
186 - Tire manufacturing,0.0,285532888.09,197130761.51,482663649.6,0.0,291256689.4,194825835.15,486082524.55,3418874.949999988,0.7083348731219613
241 - Metal heat treating,0.0,194216649.58,36804894.92,231021544.51,0.0,198109922.69,36373189.76,234483112.45,3461567.9399999976,1.4983745119278953
445 - Environmental and other technical consulting services,0.0,621155387.24,777094583.75,1398249970.99,0.0,633607087.78,768143969.43,1401751057.21,3501086.2200000286,0.25039058055700597
"443 - Other computer related services, including facilities management",0.0,442553024.87,459267423.24,901820448.11,0.0,451424456.8,453928379.59,905352836.39,3532388.2799999714,0.39169529670823194
38 - Electric power generation - Wind,0.0,388428574.9,344147703.13,732576278.04,0.0,396215026.4,340083146.25,736298172.65,3721894.6100000143,0.5080555734015718
124 - Sawmills,0.0,278738260.37,153896895.43,432635155.8,0.0,284325856.35,152103699.75,436429556.11,3794400.3100000024,0.8770439154404017
459 - Landscape and horticultural services,0.0,1015049445.74,1412709205.1,2427758650.83,0.0,1035397159.04,1396388777.22,2431785936.26,4027285.430000305,0.1658849172928891
219 - Ferrous metal foundries,0.0,243883376.0,63969902.36,307853278.37,0.0,248772269.87,63225255.94,311997525.81,4144247.4399999976,1.346176159611705
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,255426587.71,82821102.62,338247690.34,0.0,260546877.17,81855562.68,342402439.85,4154749.51000005,1.2283157072924216
220 - Nonferrous metal foundries,0.0,239113596.08,50937357.0,290050953.08,0.0,243906874.79,50344257.85,294251132.64,4200179.560000002,1.4480833506661623
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,326449865.59,182470238.0,508920103.6,0.0,332993889.93,180332482.99,513326372.92,4406269.319999993,0.8658076756706832
420 - Internet publishing and broadcasting and web search portals,0.0,2747516516.21,4353434851.93,7100951368.14,0.0,2802593319.22,4302786870.09,7105380189.31,4428821.170000076,0.06236940573725049
