Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,111.8,125.12,236.92,0.0,114.04,123.66,237.7,0.7800000000000011,0.32922505487084297,0.0,49486441.65,55380424.06,104866865.71,0.0,50478448.42,54733468.08,105211916.5,345050.79000000656,0.32903700102395916
182 - Polystyrene foam product manufacturing,0.0,87.13,273.92,361.05,0.0,88.87,270.7,359.57,-1.4800000000000182,-0.40991552416563304,0.0,46741347.85,146951794.93,193693142.78,0.0,47678326.38,145220922.53,192899248.91,-793893.8700000048,-0.40987195447684127
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,98.07,350.29,448.36,0.0,100.03,346.21,446.24,-2.1200000000000045,-0.47283432955660726,0.0,45764813.2,163469281.72,209234094.93,0.0,46682216.1,161563128.1,208245344.19,-988750.7400000095,-0.4725571806692402
184 - Plastics bottle manufacturing,0.0,48.31,416.61,464.91,0.0,49.27,411.68,460.95,-3.9600000000000364,-0.8517777634380925,0.0,27961961.49,241156527.73,269118489.22,0.0,28522487.86,238300845.7,266823333.56,-2295155.660000026,-0.8528420572856937
185 - Other plastics product manufacturing,0.0,2838.74,2340.78,5179.51,0.0,2895.64,2313.23,5208.88,29.36999999999989,0.5670420561018299,0.0,1071064550.39,883182489.32,1954247039.71,0.0,1092535144.25,872790242.83,1965325387.08,11078347.369999886,0.5668857183810219
186 - Tire manufacturing,0.0,631.03,435.66,1066.69,0.0,643.68,430.57,1074.25,7.559999999999945,0.7087344964328853,0.0,285532888.09,197130761.51,482663649.6,0.0,291256689.4,194825835.15,486082524.55,3418874.949999988,0.7083348731219613
187 - Rubber and plastics hoses and belting manufacturing,0.0,77.34,66.71,144.04,0.0,78.89,65.92,144.81,0.7700000000000102,0.534573729519585,0.0,31591036.37,27248895.46,58839931.83,0.0,32224311.29,26929190.42,59153501.7,313569.87000000477,0.5329201789457695
188 - Other rubber product manufacturing,0.0,196.84,190.09,386.93,0.0,200.79,187.88,388.67,1.740000000000009,0.44969374305430154,0.0,72457929.8,69970919.24,142428849.05,0.0,73910423.76,69157855.18,143068278.93,639429.8799999952,0.4489468841916442
"189 - Pottery, ceramics, and plumbing fixture manufacturing",0.0,9.64,65.88,75.52,0.0,9.83,65.11,74.94,-0.5799999999999983,-0.768008474576269,0.0,2659757.95,18182173.12,20841931.06,0.0,2713075.54,17968933.94,20682009.48,-159921.5799999982,-0.7673069234305308
19 - Support activities for agriculture and forestry,0.0,478.99,6030.58,6509.57,0.0,488.59,5959.37,6447.97,-61.599999999999454,-0.9462990643007059,0.0,24578863.77,309451284.81,334030148.57,0.0,25071572.45,305797359.04,330868931.48,-3161217.089999974,-0.9463867568641048
