Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
32 - Metal mining services,0.0,32.29,8.46,40.75
40 - Electric power generation - Biomass,0.0,31.88,28.24,60.12
"236 - Metal barrels, drums and pails manufacturing",0.0,31.66,87.3,118.96
94 - Coffee and tea manufacturing,0.0,31.21,307.66,338.87
119 - Cut and sew apparel manufacturing (except contractors),0.0,31.13,994.71,1025.84
265 - Industrial mold manufacturing,0.0,31.13,11.64,42.76
163 - Medicinal and botanical manufacturing,0.0,30.81,418.9,449.71
"84 - Animal, except poultry, slaughtering",0.0,30.63,1765.18,1795.82
176 - Photographic film and chemical manufacturing,0.0,30.42,30.66,61.08
316 - Switchgear and switchboard apparatus manufacturing,0.0,30.3,19.98,50.28
342 - Railroad rolling stock manufacturing,0.0,29.25,2.98,32.23
110 - Textile and fabric finishing mills,0.0,29.2,134.78,163.98
235 - Metal cans manufacturing,0.0,28.98,215.99,244.97
204 - Ground or treated mineral and earth manufacturing,0.0,28.69,26.68,55.37
262 - Industrial and commercial fan and blower and air purification equipment manufacturing,0.0,28.43,19.98,48.41
302 - Automatic environmental control manufacturing,0.0,28.36,27.23,55.59
"225 - Cutlery, utensil, pot, and pan manufacturing",0.0,28.17,73.15,101.32
192 - Other pressed and blown glass and glassware manufacturing,0.0,27.03,82.52,109.55
157 - Synthetic rubber manufacturing,0.0,26.84,34.99,61.83
227 - Prefabricated metal buildings and components manufacturing,0.0,26.43,36.36,62.79
23 - Iron ore mining,0.0,25.49,16.0,41.5
211 - Alumina refining and primary aluminum production,0.0,25.05,31.26,56.3
200 - Lime manufacturing,0.0,24.88,24.37,49.25
329 - Travel trailer and camper manufacturing,0.0,24.37,441.96,466.33
"356 - Showcase, partition, shelving, and locker manufacturing",0.0,24.25,63.8,88.04
106 - Broadwoven fabric mills,0.0,23.86,160.3,184.15
63 - Wet corn milling,0.0,23.44,170.87,194.31
193 - Glass container manufacturing,0.0,23.21,155.98,179.2
77 - Cheese manufacturing,0.0,23.04,840.73,863.76
143 - All other converted paper product manufacturing,0.0,22.34,170.02,192.36
343 - Ship building and repairing,0.0,21.52,68.29,89.81
"286 - Scales, balances, and miscellaneous general purpose machinery manufacturing",0.0,21.36,8.68,30.04
234 - Metal tank (heavy gauge) manufacturing,0.0,20.16,14.34,34.5
260 - All other industrial machinery manufacturing,0.0,19.94,17.41,37.35
304 - Totalizing fluid meter and counting device manufacturing,0.0,19.56,16.23,35.79
191 - Flat glass manufacturing,0.0,19.32,36.07,55.38
212 - Secondary smelting and alloying of aluminum,0.0,18.21,22.41,40.62
270 - Turbine and turbine generator set units manufacturing,0.0,17.83,4.89,22.71
291 - Broadcast and wireless communications equipment manufacturing,0.0,17.36,29.78,47.13
159 - Nitrogenous fertilizer manufacturing,0.0,17.19,47.3,64.49
263 - Heating equipment (except warm air furnaces) manufacturing,0.0,17.11,71.68,88.79
218 - Secondary processing of other nonferrous metals,0.0,17.02,15.97,32.99
174 - Explosives manufacturing,0.0,16.9,17.66,34.57
13 - Poultry and egg production,0.0,16.83,1183.26,1200.09
103 - Distilleries,0.0,16.82,387.04,403.86
"28 - Other clay, ceramic, refractory minerals mining",0.0,16.57,18.55,35.12
323 - All other miscellaneous electrical equipment and component manufacturing,0.0,16.44,11.29,27.73
277 - Conveyor and conveying equipment manufacturing,0.0,16.15,8.0,24.16
171 - Surface active agent manufacturing,0.0,16.11,30.17,46.28
161 - Fertilizer mixing,0.0,15.8,41.91,57.71
281 - Welding and soldering equipment manufacturing,0.0,14.66,7.57,22.23
99 - Bottled and canned soft drinks and water,0.0,14.6,1526.68,1541.28
39 - Electric power generation - Geothermal,0.0,14.53,12.87,27.4
268 - Machine tool manufacturing,0.0,14.13,9.99,24.12
65 - Fats and oils refining and blending,0.0,14.03,111.99,126.02
87 - Seafood product preparation and packaging,0.0,13.83,392.47,406.3
