Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
"88 - Bread and bakery product, except frozen, manufacturing",0.0,79.43,5410.34,5489.76
187 - Rubber and plastics hoses and belting manufacturing,0.0,78.89,65.92,144.81
295 - Bare printed circuit board manufacturing,0.0,78.29,104.81,183.1
311 - Lighting fixture manufacturing,0.0,77.52,105.34,182.85
224 - Nonferrous forging,0.0,77.02,29.47,106.49
250 - Fabricated pipe and pipe fitting manufacturing,0.0,75.23,37.64,112.87
1 - Oilseed farming,0.0,73.85,685.32,759.16
210 - Steel wire drawing,0.0,73.28,39.13,112.41
303 - Industrial process variable instruments manufacturing,0.0,72.57,35.53,108.11
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,72.55,30.1,102.65
"214 - Other aluminum rolling, drawing and extruding",0.0,71.51,119.56,191.07
298 - Electronic connector manufacturing,0.0,71.02,67.3,138.32
272 - Mechanical power transmission equipment manufacturing,0.0,67.8,26.56,94.35
41 - Electric power generation - All other,0.0,66.63,57.19,123.83
169 - Soap and other detergent manufacturing,0.0,64.33,286.69,351.02
322 - Carbon and graphite product manufacturing,0.0,63.64,51.0,114.65
168 - Adhesive manufacturing,0.0,63.26,120.58,183.84
"57 - Maintenance and repair construction of highways, streets, bridges, and tunnels",0.0,62.55,65.31,127.86
158 - Artificial and synthetic fibers and filaments manufacturing,0.0,62.48,139.17,201.65
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,62.46,14.86,77.32
317 - Relay and industrial control manufacturing,0.0,62.08,50.43,112.51
285 - Fluid power pump and motor manufacturing,0.0,61.72,22.49,84.21
201 - Gypsum product manufacturing,0.0,61.24,52.93,114.17
374 - All other miscellaneous manufacturing,0.0,61.15,592.13,653.29
170 - Polish and other sanitation good manufacturing,0.0,60.96,256.45,317.4
511 - State government passenger transit,0.0,60.88,305.21,366.09
"266 - Special tool, die, jig, and fixture manufacturing",0.0,60.31,20.16,80.47
267 - Cutting tool and machine tool accessory manufacturing,0.0,59.61,21.22,80.83
"15 - Forestry, forest products, and timber tract production",0.0,58.56,87.21,145.78
150 - All other petroleum and coal products manufacturing,0.0,57.16,29.33,86.49
83 - Poultry processing,0.0,56.44,3305.96,3362.4
320 - Other communication and energy wire manufacturing,0.0,56.18,31.84,88.02
337 - Aircraft manufacturing,0.0,55.48,14.95,70.43
"115 - Rope, cordage, twine, tire cord and tire fabric mills",0.0,53.22,53.79,107.0
24 - Gold ore and silver ore mining,0.0,53.13,67.04,120.17
425 - Direct life insurance carriers,0.0,52.87,4655.03,4707.89
338 - Aircraft engine and engine parts manufacturing,0.0,52.73,8.12,60.86
284 - Fluid power cylinder and actuator manufacturing,0.0,52.54,26.01,78.55
4 - Fruit farming,0.0,51.92,2321.29,2373.21
324 - Automobile and light duty motor vehicle manufacturing,0.0,51.74,513.32,565.05
205 - Mineral wool manufacturing,0.0,50.73,27.27,78.0
484 - Amusement parks and arcades,0.0,50.34,3067.1,3117.44
197 - Concrete block and brick manufacturing,0.0,49.91,54.84,104.75
184 - Plastics bottle manufacturing,0.0,49.27,411.68,460.95
142 - Sanitary paper product manufacturing,0.0,49.2,306.85,356.05
490 - Other accommodations,0.0,48.76,1784.44,1833.21
221 - Custom roll forming,0.0,47.06,21.02,68.08
202 - Abrasive product manufacturing,0.0,46.48,26.81,73.29
173 - Printing ink manufacturing,0.0,44.67,56.47,101.14
313 - Major household appliance manufacturing,0.0,44.65,261.07,305.71
319 - Fiber optic cable manufacturing,0.0,44.11,45.36,89.47
134 - Prefabricated wood building manufacturing,0.0,43.23,44.56,87.79
12 - Dairy cattle and milk production,0.0,42.98,1970.8,2013.78
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,42.68,27.67,70.35
"190 - Brick, tile, and other structural clay product manufacturing",0.0,42.01,48.69,90.69
"105 - Fiber, yarn, and thread mills",0.0,41.93,123.25,165.18
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,41.82,75.65,117.46
247 - Small arms ammunition manufacturing,0.0,41.2,149.64,190.83
147 - Asphalt paving mixture and block manufacturing,0.0,40.73,32.96,73.68
198 - Concrete pipe manufacturing,0.0,40.46,33.77,74.23
"249 - Small arms, ordnance, and accessories manufacturing",0.0,40.43,203.5,243.94
29 - Other nonmetallic mineral mining and quarrying,0.0,39.81,51.49,91.3
326 - Motor vehicle body manufacturing,0.0,38.24,24.3,62.54
309 - Manufacturing and reproducing magnetic and optical media,0.0,37.04,56.6,93.64
25 - Other metal ore mining,0.0,36.94,32.25,69.2
101 - Breweries,0.0,36.91,1559.37,1596.29
512 - State government electric utilities,0.0,36.79,31.55,68.34
