Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
177 - Other miscellaneous chemical product manufacturing,0.0,179362309.6,161880055.37,341242364.98
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,255426587.71,82821102.62,338247690.34
"483 - Museums, historical sites, zoos, and parks",0.0,22243.32,336103004.65,336125247.97
19 - Support activities for agriculture and forestry,0.0,24578863.77,309451284.81,334030148.57
142 - Sanitary paper product manufacturing,0.0,44892248.29,288971595.53,333863843.83
"216 - Copper rolling, drawing, extruding and alloying",0.0,204199213.0,126252270.82,330451483.82
4 - Fruit farming,0.0,7000538.55,323034741.7,330035280.26
60 - Flour milling,0.0,3048989.62,318056585.95,321105575.57
"6 - Greenhouse, nursery, and floriculture production",0.0,27820934.0,289429679.86,317250613.86
"44 - Water, sewage and other systems",0.0,83701890.11,225048047.17,308749937.28
448 - Photographic services,0.0,40413753.37,268249190.29,308662943.66
219 - Ferrous metal foundries,0.0,243883376.0,63969902.36,307853278.37
"72 - Frozen fruits, juices and vegetables manufacturing",0.0,3255750.97,301031247.12,304286998.09
180 - Plastics pipe and pipe fitting manufacturing,0.0,152930193.11,143195071.31,296125264.42
235 - Metal cans manufacturing,0.0,34536130.77,257445638.65,291981769.42
220 - Nonferrous metal foundries,0.0,239113596.08,50937357.0,290050953.08
95 - Flavoring syrup and concentrate manufacturing,0.0,10380430.07,262718505.29,273098935.36
500 - Death care services,0.0,0.0,272131091.14,272131091.14
490 - Other accommodations,0.0,6957409.97,262629563.52,269586973.48
184 - Plastics bottle manufacturing,0.0,27961961.49,241156527.73,269118489.22
34 - Electric power generation - Hydroelectric,0.0,137770794.16,122064918.58,259835712.75
10 - All other crop farming,0.0,40583798.91,218255343.79,258839142.69
229 - Plate work manufacturing,0.0,179561209.77,78335736.75,257896946.52
374 - All other miscellaneous manufacturing,0.0,23067946.03,230537955.5,253605901.53
196 - Ready-mix concrete manufacturing,0.0,132849525.6,116809731.65,249659257.25
97 - Spice and extract manufacturing,0.0,4271956.42,243389876.03,247661832.44
94 - Coffee and tea manufacturing,0.0,21775181.25,214634672.59,236409853.84
241 - Metal heat treating,0.0,194216649.58,36804894.92,231021544.51
162 - Pesticide and other agricultural chemical manufacturing,0.0,15735662.89,213562391.21,229298054.11
251 - Other fabricated metal manufacturing,0.0,93390401.4,133232083.03,226622484.44
"90 - Dry pasta, mixes, and dough manufacturing",0.0,1033169.41,224500323.82,225533493.23
87 - Seafood product preparation and packaging,0.0,7592876.22,215447183.39,223040059.62
175 - Custom compounding of purchased resins,0.0,151582225.13,70517874.97,222100100.1
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,45764813.2,163469281.72,209234094.93
329 - Travel trailer and camper manufacturing,0.0,10890134.49,197479199.17,208369333.65
344 - Boat building,0.0,1766930.63,203310502.3,205077432.93
170 - Polish and other sanitation good manufacturing,0.0,38149348.12,165690638.69,203839986.81
129 - Wood windows and door manufacturing,0.0,104735563.04,96880946.25,201616509.29
360 - Surgical appliance and supplies manufacturing,0.0,3237466.9,196896373.24,200133840.14
231 - Sheet metal work manufacturing,0.0,112439370.14,86235969.24,198675339.38
348 - Wood kitchen cabinet and countertop manufacturing,0.0,45713782.74,152948429.46,198662212.21
209 - Rolled steel shape manufacturing,0.0,124993188.28,73532554.18,198525742.45
