Industry,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total
163 - Medicinal and botanical manufacturing,0.0,25642920.36,337744488.87,363387409.23
318 - Battery manufacturing,0.0,82652933.08,280370659.27,363023592.35
509 - Federal electric utilities,0.0,192774286.93,165227982.12,358002269.05
37 - Electric power generation - Solar,0.0,191367267.55,164256219.73,355623487.28
65 - Fats and oils refining and blending,0.0,40662492.69,314326212.5,354988705.19
"78 - Dry, condensed, and evaporated dairy product manufacturing",0.0,6395120.0,341699029.4,348094149.4
103 - Distilleries,0.0,14725707.9,328252365.24,342978073.14
177 - Other miscellaneous chemical product manufacturing,0.0,182957812.13,159982155.24,342939967.37
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,260546877.17,81855562.68,342402439.85
"216 - Copper rolling, drawing, extruding and alloying",0.0,208292596.88,124779541.51,333072138.39
"483 - Museums, historical sites, zoos, and parks",0.0,22689.21,332225381.72,332248070.93
142 - Sanitary paper product manufacturing,0.0,45792159.72,285569303.77,331361463.49
19 - Support activities for agriculture and forestry,0.0,25071572.45,305797359.04,330868931.48
4 - Fruit farming,0.0,7140871.57,319236406.28,326377277.85
60 - Flour milling,0.0,3110109.76,314285343.91,317395453.67
"6 - Greenhouse, nursery, and floriculture production",0.0,28378633.32,286049089.26,314427722.58
219 - Ferrous metal foundries,0.0,248772269.87,63225255.94,311997525.81
"44 - Water, sewage and other systems",0.0,85379780.84,222394701.24,307774482.08
448 - Photographic services,0.0,41223888.75,265148772.46,306372661.22
"72 - Frozen fruits, juices and vegetables manufacturing",0.0,3321015.86,297472702.57,300793718.43
180 - Plastics pipe and pipe fitting manufacturing,0.0,155995836.6,141514487.47,297510324.07
220 - Nonferrous metal foundries,0.0,243906874.79,50344257.85,294251132.64
235 - Metal cans manufacturing,0.0,35228443.14,254383427.07,289611870.21
95 - Flavoring syrup and concentrate manufacturing,0.0,10588516.5,259619640.93,270208157.43
500 - Death care services,0.0,0.0,268839761.74,268839761.74
184 - Plastics bottle manufacturing,0.0,28522487.86,238300845.7,266823333.56
490 - Other accommodations,0.0,7096878.43,259695500.49,266792378.92
34 - Electric power generation - Hydroelectric,0.0,140532551.86,120623270.71,261155822.57
229 - Plate work manufacturing,0.0,183160699.46,77413005.95,260573705.41
10 - All other crop farming,0.0,41397343.02,215680344.77,257077687.8
374 - All other miscellaneous manufacturing,0.0,23530366.81,227834290.27,251364657.08
196 - Ready-mix concrete manufacturing,0.0,135512631.39,115445615.66,250958247.06
97 - Spice and extract manufacturing,0.0,4357592.19,240519486.67,244877078.86
241 - Metal heat treating,0.0,198109922.69,36373189.76,234483112.45
94 - Coffee and tea manufacturing,0.0,22211687.22,212106819.13,234318506.35
162 - Pesticide and other agricultural chemical manufacturing,0.0,16051100.49,211032696.7,227083797.19
251 - Other fabricated metal manufacturing,0.0,95262508.35,131673063.36,226935571.7
175 - Custom compounding of purchased resins,0.0,154620847.21,69689175.01,224310022.22
"90 - Dry pasta, mixes, and dough manufacturing",0.0,1053880.36,221833059.02,222886939.38
87 - Seafood product preparation and packaging,0.0,7745083.26,212929365.2,220674448.46
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,46682216.1,161563128.1,208245344.19
329 - Travel trailer and camper manufacturing,0.0,11108438.47,195325796.8,206434235.27
344 - Boat building,0.0,1802350.57,201216416.22,203018766.8
170 - Polish and other sanitation good manufacturing,0.0,38914091.16,163717390.43,202631481.59
129 - Wood windows and door manufacturing,0.0,106835095.45,95756674.68,202591770.13
209 - Rolled steel shape manufacturing,0.0,127498805.68,72676294.54,200175100.22
231 - Sheet metal work manufacturing,0.0,114693333.31,85231881.34,199925214.65
360 - Surgical appliance and supplies manufacturing,0.0,3302365.26,194591574.73,197893939.99
348 - Wood kitchen cabinet and countertop manufacturing,0.0,46630162.68,151181200.06,197811362.74
514 - Local government passenger transit,0.0,32433934.27,162590152.83,195024087.11
182 - Polystyrene foam product manufacturing,0.0,47678326.38,145220922.53,192899248.91
92 - Roasted nuts and peanut butter manufacturing,0.0,3596738.54,188697384.88,192294123.42
66 - Breakfast cereal manufacturing,0.0,207748.18,191257640.48,191465388.66
294 - Printed circuit assembly (electronic assembly) manufacturing,0.0,91243659.89,94119497.08,185363156.97
158 - Artificial and synthetic fibers and filaments manufacturing,0.0,57338889.67,127724492.56,185063382.23
238 - Spring and wire product manufacturing,0.0,122429127.76,62229765.39,184658893.16
510 - Other federal government enterprises,0.0,98617496.75,85285395.33,183902892.08
"96 - Mayonnaise, dressing, and sauce manufacturing",0.0,3714720.45,180087577.76,183802298.22
119 - Cut and sew apparel manufacturing (except contractors),0.0,5730086.34,177405163.8,183135250.15
313 - Major household appliance manufacturing,0.0,26711234.9,156197184.98,182908419.88
69 - Nonchocolate confectionery manufacturing,0.0,1275424.44,181309362.97,182584787.41
89 - Cookie and cracker manufacturing,0.0,999972.83,179461930.28,180461903.11
71 - Confectionery manufacturing from purchased chocolate,0.0,1075635.54,175992499.15,177068134.69
"419 - News syndicates, libraries, archives and all other information services",0.0,29672656.76,145253419.04,174926075.79
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,109982538.46,62849306.17,172831844.63
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,158280109.25,9466419.81,167746529.06
159 - Nitrogenous fertilizer manufacturing,0.0,44005707.89,117328654.43,161334362.32
299 - Other electronic component manufacturing,0.0,73553520.73,82538707.89,156092228.62
"22 - Copper, nickel, lead, and zinc mining",0.0,57556686.95,98043954.16,155600641.11
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,55085423.36,99651193.85,154736617.21
334 - Motor vehicle metal stamping,0.0,67563111.16,85180331.05,152743442.21
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,52254780.7,99497989.53,151752770.23
150 - All other petroleum and coal products manufacturing,0.0,97873818.45,50213901.15,148087719.61
75 - Canned specialties,0.0,2167147.55,144564609.43,146731756.98
168 - Adhesive manufacturing,0.0,50118118.22,95532881.83,145651000.05
333 - Motor vehicle seating and interior trim manufacturing,0.0,71112775.52,73114344.75,144227120.27
188 - Other rubber product manufacturing,0.0,73910423.76,69157855.18,143068278.93
"249 - Small arms, ordnance, and accessories manufacturing",0.0,23419568.75,117870729.4,141290298.16
365 - Sporting and athletic goods manufacturing,0.0,599707.19,139340917.43,139940624.62
359 - Surgical and medical instrument manufacturing,0.0,4870430.38,133896077.43,138766507.81
179 - Unlaminated plastics profile shape manufacturing,0.0,57959904.43,78761401.73,136721306.16
125 - Wood preservation,0.0,90307564.77,45045687.24,135353252.02
230 - Metal window and door manufacturing,0.0,67760514.62,65994686.96,133755201.58
339 - Other aircraft parts and auxiliary equipment manufacturing,0.0,124885952.07,6757749.73,131643701.8
194 - Glass product manufacturing made of purchased glass,0.0,38607740.02,90045558.69,128653298.72
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,57913039.74,70607131.82,128520171.56
"408 - Directory, mailing list, and other publishers",0.0,33660210.06,92430002.32,126090212.38
"214 - Other aluminum rolling, drawing and extruding",0.0,47061256.22,78689760.76,125751016.98
321 - Wiring device manufacturing,0.0,76725154.38,48054622.15,124779776.53
81 - Ice cream and frozen dessert manufacturing,0.0,3760074.63,120713211.5,124473286.13
349 - Upholstered household furniture manufacturing,0.0,156340.15,124199855.97,124356196.13
26 - Stone mining and quarrying,0.0,72158849.21,51883468.94,124042318.15
195 - Cement manufacturing,0.0,82574437.17,37688118.2,120262555.37
68 - Sugar cane mills and refining,0.0,1250356.72,118449058.44,119699415.17
199 - Other concrete product manufacturing,0.0,61152321.72,58111082.88,119263404.59
223 - Iron and steel forging,0.0,86894247.5,32127853.32,119022100.83
148 - Asphalt shingle and coating materials manufacturing,0.0,61769403.7,57107457.77,118876861.47
80 - Creamery butter manufacturing,0.0,2197550.94,115792614.19,117990165.13
237 - Hardware manufacturing,0.0,68374863.49,47566469.34,115941332.82
328 - Motor home manufacturing,0.0,87787.3,109570259.52,109658046.82
357 - Mattress manufacturing,0.0,392232.44,108905331.02,109297563.46
287 - Electronic computer manufacturing,0.0,11269120.19,94789400.96,106058521.14
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,50478448.42,54733468.08,105211916.5
193 - Glass container manufacturing,0.0,13690857.87,89124908.33,102815766.2
147 - Asphalt paving mixture and block manufacturing,0.0,56059088.51,45366184.66,101425273.17
232 - Ornamental and architectural metal work manufacturing,0.0,48765683.93,51750987.21,100516671.14
364 - Jewelry and silverware manufacturing,0.0,1304476.54,99047760.42,100352236.95
141 - Stationery product manufacturing,0.0,60775689.55,38608851.81,99384541.36
347 - All other transportation equipment manufacturing,0.0,9831369.4,86508408.01,96339777.41
165 - In-vitro diagnostic substance manufacturing,0.0,148739.98,95827214.82,95975954.81
226 - Handtool manufacturing,0.0,33643692.36,61755244.74,95398937.1
201 - Gypsum product manufacturing,0.0,50945882.89,44029914.92,94975797.81
"366 - Doll, toy, and game manufacturing",0.0,2399504.08,92202745.06,94602249.14
"131 - Other millwork, including flooring",0.0,48429629.02,45890088.47,94319717.49
362 - Ophthalmic goods manufacturing,0.0,365413.49,93798577.02,94163990.51
91 - Tortilla manufacturing,0.0,573055.84,90794299.83,91367355.68
